departure_day,arrival_day,tof_day,total_dv
0,150,150,42.1873
0,159.5,159.5,41.8682
0,169,169,42.6786
0,178.5,178.5,44.6169
0,188,188,47.6326
0,197.5,197.5,51.606
0,207,207,56.3247
0,216.5,216.5,61.4776
0,226,226,69.7509
0,235.5,235.5,68.0023
0,245,245,66.3153
0,254.5,254.5,64.6848
0,264,264,63.1066
0,273.5,273.5,61.5772
0,283,283,60.0935
0,292.5,292.5,58.6527
0,302,302,57.2524
0,311.5,311.5,55.8904
0,321,321,54.5648
0,330.5,330.5,53.2738
0,340,340,52.0158
0,349.5,349.5,50.7891
0,359,359,49.5924
0,368.5,368.5,48.4242
0,378,378,47.2834
0,387.5,387.5,46.1686
0,397,397,45.0788
0,406.5,406.5,44.0128
0,416,416,42.9697
0,425.5,425.5,41.9483
0,435,435,40.9477
0,444.5,444.5,39.967
0,454,454,39.0055
0,463.5,463.5,38.0621
0,473,473,37.1363
0,482.5,482.5,36.2273
0,492,492,35.3344
0,501.5,501.5,34.4574
0,511,511,33.5958
0,520.5,520.5,32.7498
0,530,530,31.9202
0,539.5,539.5,31.1088
0,549,549,30.3203
0,558.5,558.5,29.5664
0,568,568,28.8788
0,577.5,577.5,28.3679
0,587,587,28.6143
0,596.5,596.5,37.6869
0,606,606,36.8247
0,615.5,615.5,26.8364
0,625,625,24.9512
0,634.5,634.5,23.8802
0,644,644,23.0222
0,653.5,653.5,22.2532
0,663,663,21.5368
0,672.5,672.5,20.8616
0,682,682,20.2267
0,691.5,691.5,19.6374
0,701,701,19.1045
0,710.5,710.5,18.6452
0,720,720,18.2846
0,729.5,729.5,18.057
0,739,739,18.006
0,748.5,748.5,18.1803
0,758,758,18.6248
0,767.5,767.5,19.3711
0,777,777,20.4355
0,786.5,786.5,21.8258
0,796,796,23.5512
0,805.5,805.5,25.6304
0,815,815,28.0952
0,824.5,824.5,30.992
0,834,834,34.3808
0,843.5,843.5,38.3323
0,853,853,42.9187
0,862.5,862.5,48.1976
0,872,872,54.1807
0,881.5,881.5,60.7914
0,891,891,67.8221
0,900.5,900.5,74.9276
0,910,910,81.689
0,919.5,919.5,82.2741
0,929,929,80.9191
0,938.5,938.5,79.5738
0,948,948,78.239
0,957.5,957.5,76.9153
0,967,967,75.6034
0,976.5,976.5,74.3035
0,986,986,73.0159
0,995.5,995.5,71.7409
0,1005,1005,70.4784
0,1014.5,1014.5,69.2284
0,1024,1024,67.9909
0,1033.5,1033.5,66.7658
0,1043,1043,65.5529
0,1052.5,1052.5,64.352
0,1062,1062,63.1627
0,1071.5,1071.5,61.9848
0,1081,1081,60.818
0,1090.5,1090.5,59.6619
8,150,142,43.0579
8,159.5,151.5,41.4633
8,169,161,40.873
8,178.5,170.5,41.3069
8,188,180,42.769
8,197.5,189.5,45.2318
8,207,199,48.6247
8,216.5,208.5,52.8167
8,226,218,57.5981
8,235.5,227.5,62.6834
8,245,237,69.4239
8,254.5,246.5,67.7551
8,264,256,66.1406
8,273.5,265.5,64.5761
8,283,275,63.0583
8,292.5,284.5,61.5839
8,302,294,60.1503
8,311.5,303.5,58.7551
8,321,313,57.3963
8,330.5,322.5,56.0718
8,340,332,54.7801
8,349.5,341.5,53.5194
8,359,351,52.2883
8,368.5,360.5,51.0853
8,378,370,49.9093
8,387.5,379.5,48.759
8,397,389,47.6332
8,406.5,398.5,46.5308
8,416,408,45.4508
8,425.5,417.5,44.3922
8,435,427,43.354
8,444.5,436.5,42.3354
8,454,446,41.3354
8,463.5,455.5,40.3534
8,473,465,39.3884
8,482.5,474.5,38.4399
8,492,484,37.5071
8,501.5,493.5,36.5895
8,511,503,35.6868
8,520.5,512.5,34.7986
8,530,522,33.9251
8,539.5,531.5,33.067
8,549,541,32.2259
8,558.5,550.5,31.406
8,568,560,30.6164
8,577.5,569.5,29.8808
8,587,579,29.2713
8,596.5,588.5,29.0887
8,606,598,31.6999
8,615.5,607.5,72.1977
8,625,617,29.6046
8,634.5,626.5,26.1841
8,644,636,24.8126
8,653.5,645.5,23.8351
8,663,655,22.9944
8,672.5,664.5,22.2233
8,682,674,21.5005
8,691.5,683.5,20.821
8,701,693,20.188
8,710.5,702.5,19.611
8,720,712,19.1055
8,729.5,721.5,18.695
8,739,731,18.4116
8,748.5,740.5,18.2965
8,758,750,18.3962
8,767.5,759.5,18.7537
8,777,769,19.3997
8,786.5,778.5,20.3484
8,796,788,21.6035
8,805.5,797.5,23.168
8,815,807,25.052
8,824.5,816.5,27.2765
8,834,826,29.8756
8,843.5,835.5,32.895
8,853,845,36.3912
8,862.5,854.5,40.4262
8,872,864,45.058
8,881.5,873.5,50.3235
8,891,883,56.2095
8,900.5,892.5,62.618
8,910,902,69.3381
8,919.5,911.5,76.0527
8,929,921,82.402
8,938.5,930.5,81.608
8,948,940,80.2919
8,957.5,949.5,78.9854
8,967,959,77.689
8,976.5,968.5,76.4032
8,986,978,75.1283
8,995.5,987.5,73.8643
8,1005,997,72.6116
8,1014.5,1006.5,71.37
8,1024,1016,70.1396
8,1033.5,1025.5,68.9203
8,1043,1035,67.7119
8,1052.5,1044.5,66.5142
8,1062,1054,65.327
8,1071.5,1063.5,64.15
8,1081,1073,62.9829
8,1090.5,1082.5,61.8254
16,150,134,45.2174
16,159.5,143.5,42.5543
16,169,153,40.8055
16,178.5,162.5,39.9717
16,188,172,40.0674
16,197.5,181.5,41.0996
16,207,191,43.0544
16,216.5,200.5,45.8907
16,226,210,49.5312
16,235.5,219.5,53.8459
16,245,229,58.6376
16,254.5,238.5,63.6484
16,264,248,69.1856
16,273.5,257.5,67.5883
16,283,267,66.0388
16,292.5,276.5,64.5336
16,302,286,63.0696
16,311.5,295.5,61.6442
16,321,305,60.2551
16,330.5,314.5,58.9003
16,340,324,57.5779
16,349.5,333.5,56.2861
16,359,343,55.0235
16,368.5,352.5,53.7886
16,378,362,52.58
16,387.5,371.5,51.3966
16,397,381,50.2372
16,406.5,390.5,49.1006
16,416,400,47.9859
16,425.5,409.5,46.892
16,435,419,45.818
16,444.5,428.5,44.763
16,454,438,43.7262
16,463.5,447.5,42.7067
16,473,457,41.7038
16,482.5,466.5,40.7168
16,492,476,39.745
16,501.5,485.5,38.7878
16,511,495,37.8447
16,520.5,504.5,36.9153
16,530,514,35.9994
16,539.5,523.5,35.0972
16,549,533,34.2092
16,558.5,542.5,33.337
16,568,552,32.4839
16,577.5,561.5,31.6573
16,587,571,30.8752
16,596.5,580.5,30.1868
16,606,590,29.7669
16,615.5,599.5,30.5989
16,625,609,48.4523
16,634.5,618.5,35.3916
16,644,628,27.6643
16,653.5,637.5,25.779
16,663,647,24.6438
16,672.5,656.5,23.7216
16,682,666,22.8929
16,691.5,675.5,22.1219
16,701,685,21.3984
16,710.5,694.5,20.7229
16,720,704,20.1032
16,729.5,713.5,19.5533
16,739,723,19.0949
16,748.5,732.5,18.7577
16,758,742,18.5801
16,767.5,751.5,18.6059
16,777,761,18.8764
16,786.5,770.5,19.4211
16,796,780,20.2532
16,805.5,789.5,21.3738
16,815,799,22.7812
16,824.5,808.5,24.4786
16,834,818,26.4789
16,843.5,827.5,28.8056
16,853,837,31.4933
16,862.5,846.5,34.5865
16,872,856,38.1367
16,881.5,865.5,42.1981
16,891,875,46.8166
16,900.5,884.5,52.0139
16,910,894,57.7618
16,919.5,903.5,63.9543
16,929,913,70.3888
16,938.5,922.5,76.7794
16,948,932,82.2952
16,957.5,941.5,81.009
16,967,951,79.7313
16,976.5,960.5,78.4627
16,986,970,77.2035
16,995.5,979.5,75.9538
16,1005,989,74.7139
16,1014.5,998.5,73.4838
16,1024,1008,72.2635
16,1033.5,1017.5,71.0529
16,1043,1027,69.8519
16,1052.5,1036.5,68.6604
16,1062,1046,67.478
16,1071.5,1055.5,66.3047
16,1081,1065,65.1401
16,1090.5,1074.5,63.9838
24,150,126,48.4423
24,159.5,135.5,44.8256
24,169,145,42.0955
24,178.5,154.5,40.2087
24,188,164,39.1574
24,197.5,173.5,38.9507
24,207,183,39.597
24,216.5,192.5,41.0908
24,226,202,43.4085
24,235.5,211.5,46.5055
24,245,221,50.3068
24,254.5,230.5,54.6902
24,264,240,59.4739
24,273.5,249.5,64.425
24,283,259,69.024
24,292.5,268.5,67.4905
24,302,278,65.999
24,311.5,287.5,64.5465
24,321,297,63.1304
24,330.5,306.5,61.7484
24,340,316,60.3985
24,349.5,325.5,59.0789
24,359,335,57.7879
24,368.5,344.5,56.5241
24,378,354,55.286
24,387.5,363.5,54.0725
24,397,373,52.8822
24,406.5,382.5,51.7141
24,416,392,50.5671
24,425.5,401.5,49.4403
24,435,411,48.3327
24,444.5,420.5,47.2435
24,454,430,46.1716
24,463.5,439.5,45.1165
24,473,449,44.0772
24,482.5,458.5,43.0532
24,492,468,42.0436
24,501.5,477.5,41.0479
24,511,487,40.0656
24,520.5,496.5,39.0962
24,530,506,38.1392
24,539.5,515.5,37.1946
24,549,525,36.2625
24,558.5,534.5,35.3433
24,568,544,34.4384
24,577.5,553.5,33.5507
24,587,563,32.686
24,596.5,572.5,31.8581
24,606,582,31.1016
24,615.5,591.5,30.5257
24,625,601,30.6204
24,634.5,610.5,35.9725
24,644,620,52.4505
24,653.5,629.5,29.6462
24,663,639,26.7985
24,672.5,648.5,25.4472
24,682,658,24.4314
24,691.5,667.5,23.5426
24,701,677,22.7237
24,710.5,686.5,21.9571
24,720,696,21.2405
24,729.5,705.5,20.5798
24,739,715,19.9875
24,748.5,724.5,19.4832
24,758,734,19.0942
24,767.5,743.5,18.856
24,777,753,18.8091
24,786.5,762.5,18.9928
24,796,772,19.4357
24,805.5,781.5,20.1508
24,815,791,21.138
24,824.5,800.5,22.3921
24,834,810,23.9116
24,843.5,819.5,25.7022
24,853,829,27.7795
24,862.5,838.5,30.1689
24,872,848,32.9047
24,881.5,857.5,36.0294
24,891,867,39.5903
24,900.5,876.5,43.6348
24,910,886,48.2003
24,919.5,895.5,53.299
24,929,905,58.8959
24,938.5,914.5,64.8854
24,948,924,71.0786
24,957.5,933.5,77.2173
24,967,943,81.7243
24,976.5,952.5,80.4759
24,986,962,79.2354
24,995.5,971.5,78.003
24,1005,981,76.779
24,1014.5,990.5,75.5634
24,1024,1000,74.3561
24,1033.5,1009.5,73.1573
24,1043,1019,71.9667
24,1052.5,1028.5,70.7843
24,1062,1038,69.6098
24,1071.5,1047.5,68.4429
